tcpDumpTimestamp;User_Name;NAS_IP_Address;Framed_IP_Address;NAS_Identifier;Acct_Status_Type;Acct_Delay_Time;Acct_Input_Octets;Acct_Output_Octets;Acct_Session_Id;Acct_Input_Gigawords;Acct_Output_Gigawords;Event_Timestamp;Framed_IP_Netmask;Acct_Unique_Session_Id;Timestamp
Tue Jun  9 01:48:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;106530;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 01:48:19 CEST;255.255.255.255;a4a559c8c5d03422;1433807299;
Tue Jun  9 01:53:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;473694;1239814;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 01:53:47 CEST;255.255.255.255;3a48eb713547a3be;1433807628;
Tue Jun  9 01:58:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;106722;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 01:58:19 CEST;255.255.255.255;a4a559c8c5d03422;1433807899;
Tue Jun  9 02:03:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;475105;1241540;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 02:03:47 CEST;255.255.255.255;3a48eb713547a3be;1433808228;
Tue Jun  9 02:08:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;106892;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 02:08:19 CEST;255.255.255.255;a4a559c8c5d03422;1433808499;
Tue Jun  9 02:13:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;476119;1242632;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 02:13:47 CEST;255.255.255.255;3a48eb713547a3be;1433808828;
Tue Jun  9 02:18:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;107136;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 02:18:19 CEST;255.255.255.255;a4a559c8c5d03422;1433809099;
Tue Jun  9 02:23:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;487109;1256794;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 02:23:47 CEST;255.255.255.255;3a48eb713547a3be;1433809428;
Tue Jun  9 02:28:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;107386;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 02:28:19 CEST;255.255.255.255;a4a559c8c5d03422;1433809699;
Tue Jun  9 02:33:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;488298;1258957;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 02:33:47 CEST;255.255.255.255;3a48eb713547a3be;1433810028;
Tue Jun  9 02:38:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;108280;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 02:38:19 CEST;255.255.255.255;a4a559c8c5d03422;1433810299;
Tue Jun  9 02:43:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;489390;1260329;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 02:43:47 CEST;255.255.255.255;3a48eb713547a3be;1433810628;
Tue Jun  9 02:48:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;108436;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 02:48:19 CEST;255.255.255.255;a4a559c8c5d03422;1433810899;
Tue Jun  9 02:53:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;496296;1270318;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 02:53:47 CEST;255.255.255.255;3a48eb713547a3be;1433811228;
Tue Jun  9 02:58:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;108794;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 02:58:19 CEST;255.255.255.255;a4a559c8c5d03422;1433811499;
Tue Jun  9 03:03:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;501402;1275061;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 03:03:47 CEST;255.255.255.255;3a48eb713547a3be;1433811828;
Tue Jun  9 03:08:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;108976;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 03:08:19 CEST;255.255.255.255;a4a559c8c5d03422;1433812099;
Tue Jun  9 03:13:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;509007;1352168;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 03:13:47 CEST;255.255.255.255;3a48eb713547a3be;1433812428;
Tue Jun  9 03:18:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;109302;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 03:18:19 CEST;255.255.255.255;a4a559c8c5d03422;1433812699;
Tue Jun  9 03:23:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;523791;1367114;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 03:23:47 CEST;255.255.255.255;3a48eb713547a3be;1433813028;
Tue Jun  9 03:28:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;109544;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 03:28:19 CEST;255.255.255.255;a4a559c8c5d03422;1433813299;
Tue Jun  9 03:33:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;524980;1368799;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 03:33:47 CEST;255.255.255.255;3a48eb713547a3be;1433813628;
Tue Jun  9 03:38:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;110040;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 03:38:19 CEST;255.255.255.255;a4a559c8c5d03422;1433813899;
Tue Jun  9 03:43:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;529598;1373374;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 03:43:47 CEST;255.255.255.255;3a48eb713547a3be;1433814228;
Tue Jun  9 03:48:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;110210;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 03:48:19 CEST;255.255.255.255;a4a559c8c5d03422;1433814499;
Tue Jun  9 03:53:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;537183;1390071;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 03:53:47 CEST;255.255.255.255;3a48eb713547a3be;1433814828;
Tue Jun  9 03:58:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;110366;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 03:58:19 CEST;255.255.255.255;a4a559c8c5d03422;1433815099;
Tue Jun  9 04:03:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;541755;1394375;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 04:03:47 CEST;255.255.255.255;3a48eb713547a3be;1433815428;
Tue Jun  9 04:08:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;111127;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 04:08:19 CEST;255.255.255.255;a4a559c8c5d03422;1433815699;
Tue Jun  9 04:13:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;543381;1396429;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 04:13:47 CEST;255.255.255.255;3a48eb713547a3be;1433816028;
Tue Jun  9 04:18:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;111680;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 04:18:19 CEST;255.255.255.255;a4a559c8c5d03422;1433816299;
Tue Jun  9 04:23:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;554479;1412174;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 04:23:47 CEST;255.255.255.255;3a48eb713547a3be;1433816628;
Tue Jun  9 04:28:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;112006;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 04:28:19 CEST;255.255.255.255;a4a559c8c5d03422;1433816899;
Tue Jun  9 04:33:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;555493;1413864;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 04:33:47 CEST;255.255.255.255;3a48eb713547a3be;1433817228;
Tue Jun  9 04:38:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;112514;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 04:38:19 CEST;255.255.255.255;a4a559c8c5d03422;1433817499;
Tue Jun  9 04:43:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;556507;1417367;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 04:43:47 CEST;255.255.255.255;3a48eb713547a3be;1433817828;
