tcpDumpTimestamp;User_Name;NAS_IP_Address;Framed_IP_Address;NAS_Identifier;Acct_Status_Type;Acct_Delay_Time;Acct_Input_Octets;Acct_Output_Octets;Acct_Session_Id;Acct_Input_Gigawords;Acct_Output_Gigawords;Event_Timestamp;Framed_IP_Netmask;Acct_Unique_Session_Id;Timestamp
Tue Jun  9 07:43:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;666535;1557151;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 07:43:47 CEST;255.255.255.255;3a48eb713547a3be;1433828628;
Tue Jun  9 07:48:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;126003;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 07:48:19 CEST;255.255.255.255;a4a559c8c5d03422;1433828899;
Tue Jun  9 07:53:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;668617;1560027;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 07:53:47 CEST;255.255.255.255;3a48eb713547a3be;1433829228;
Tue Jun  9 07:58:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;126361;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 07:58:19 CEST;255.255.255.255;a4a559c8c5d03422;1433829499;
Tue Jun  9 08:03:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;669709;1561426;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 08:03:47 CEST;255.255.255.255;3a48eb713547a3be;1433829828;
Tue Jun  9 08:08:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;126687;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 08:08:19 CEST;255.255.255.255;a4a559c8c5d03422;1433830099;
Tue Jun  9 08:13:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;685475;1578977;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 08:13:47 CEST;255.255.255.255;3a48eb713547a3be;1433830428;
Tue Jun  9 08:18:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;127096;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 08:18:19 CEST;255.255.255.255;a4a559c8c5d03422;1433830699;
Tue Jun  9 08:23:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;688172;1582859;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 08:23:47 CEST;255.255.255.255;3a48eb713547a3be;1433831028;
Tue Jun  9 08:28:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;128511;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 08:28:19 CEST;255.255.255.255;a4a559c8c5d03422;1433831299;
Tue Jun  9 08:33:45 2015;BaloghT_mobil;192.168.53.11;78.92.255.9;MT_HAAP_INFOG;Start;0;null;null;MT_HAAP03000000000000901c33283890;null;null;Jun  9 2015 08:33:45 CEST;255.255.255.255;45ae52d63fe45359;1433831625;
Tue Jun  9 08:33:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;698366;1597715;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 08:33:47 CEST;255.255.255.255;3a48eb713547a3be;1433831628;
Tue Jun  9 08:38:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;129173;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 08:38:19 CEST;255.255.255.255;a4a559c8c5d03422;1433831899;
Tue Jun  9 08:43:45 2015;BaloghT_mobil;192.168.53.11;78.92.255.9;MT_HAAP_INFOG;Interim-Update;0;772;516;MT_HAAP03000000000000901c33283890;0;0;Jun  9 2015 08:43:45 CEST;255.255.255.255;45ae52d63fe45359;1433832225;
Tue Jun  9 08:43:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;708855;1621859;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 08:43:47 CEST;255.255.255.255;3a48eb713547a3be;1433832228;
Tue Jun  9 08:48:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;130701;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 08:48:19 CEST;255.255.255.255;a4a559c8c5d03422;1433832499;
Tue Jun  9 08:53:45 2015;BaloghT_mobil;192.168.53.11;78.92.255.9;MT_HAAP_INFOG;Interim-Update;0;772;1104;MT_HAAP03000000000000901c33283890;0;0;Jun  9 2015 08:53:45 CEST;255.255.255.255;45ae52d63fe45359;1433832825;
Tue Jun  9 08:53:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;710859;1633726;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 08:53:47 CEST;255.255.255.255;3a48eb713547a3be;1433832828;
Tue Jun  9 08:58:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;133188;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 08:58:19 CEST;255.255.255.255;a4a559c8c5d03422;1433833099;
Tue Jun  9 09:03:45 2015;BaloghT_mobil;192.168.53.11;78.92.255.9;MT_HAAP_INFOG;Interim-Update;0;772;1260;MT_HAAP03000000000000901c33283890;0;0;Jun  9 2015 09:03:45 CEST;255.255.255.255;45ae52d63fe45359;1433833425;
Tue Jun  9 09:03:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;718084;1647492;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 09:03:47 CEST;255.255.255.255;3a48eb713547a3be;1433833428;
Tue Jun  9 09:08:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;133500;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 09:08:19 CEST;255.255.255.255;a4a559c8c5d03422;1433833699;
Tue Jun  9 09:13:45 2015;BaloghT_mobil;192.168.53.11;78.92.255.9;MT_HAAP_INFOG;Interim-Update;0;772;2158;MT_HAAP03000000000000901c33283890;0;0;Jun  9 2015 09:13:45 CEST;255.255.255.255;45ae52d63fe45359;1433834025;
Tue Jun  9 09:13:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;724522;1662265;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 09:13:47 CEST;255.255.255.255;3a48eb713547a3be;1433834028;
Tue Jun  9 09:18:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;134650;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 09:18:19 CEST;255.255.255.255;a4a559c8c5d03422;1433834299;
Tue Jun  9 09:23:45 2015;BaloghT_mobil;192.168.53.11;78.92.255.9;MT_HAAP_INFOG;Interim-Update;0;772;2682;MT_HAAP03000000000000901c33283890;0;0;Jun  9 2015 09:23:45 CEST;255.255.255.255;45ae52d63fe45359;1433834625;
Tue Jun  9 09:23:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;733813;1684549;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 09:23:47 CEST;255.255.255.255;3a48eb713547a3be;1433834628;
Tue Jun  9 09:28:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;135058;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 09:28:19 CEST;255.255.255.255;a4a559c8c5d03422;1433834899;
Tue Jun  9 09:33:45 2015;BaloghT_mobil;192.168.53.11;78.92.255.9;MT_HAAP_INFOG;Interim-Update;0;772;3018;MT_HAAP03000000000000901c33283890;0;0;Jun  9 2015 09:33:45 CEST;255.255.255.255;45ae52d63fe45359;1433835225;
Tue Jun  9 09:33:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;735224;1691711;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 09:33:47 CEST;255.255.255.255;3a48eb713547a3be;1433835228;
Tue Jun  9 09:38:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;135238;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 09:38:19 CEST;255.255.255.255;a4a559c8c5d03422;1433835499;
Tue Jun  9 09:39:43 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Stop;0;83790;135534;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 09:39:43 CEST;255.255.255.255;a4a559c8c5d03422;1433835583;
Tue Jun  9 09:39:46 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Stop;0;735848;1695877;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 09:39:45 CEST;255.255.255.255;3a48eb713547a3be;1433835586;
Tue Jun  9 09:39:46 2015;BaloghT_mobil;192.168.53.11;78.92.255.9;MT_HAAP_INFOG;Stop;0;772;3301;MT_HAAP03000000000000901c33283890;0;0;Jun  9 2015 09:39:45 CEST;255.255.255.255;45ae52d63fe45359;1433835586;
Tue Jun  9 09:39:48 2015;BaloghT_mobil;192.168.53.11;78.92.255.5;MT_HAAP_INFOG;Start;0;null;null;MT_HAAP0300000000000005ee19283648;null;null;Jun  9 2015 09:39:48 CEST;255.255.255.255;9a0e93e772cde478;1433835588;
Tue Jun  9 09:39:48 2015;elemer_mobil;192.168.53.11;78.92.255.14;MT_HAAP_INFOG;Start;0;null;null;MT_HAAP02000000000000100027283649;null;null;Jun  9 2015 09:39:48 CEST;255.255.255.255;af605e44d652419a;1433835588;
Tue Jun  9 09:39:51 2015;taki_mobil;192.168.53.11;78.92.255.13;MT_HAAP_INFOG;Start;0;null;null;MT_HAAP03000000000000941827283650;null;null;Jun  9 2015 09:39:51 CEST;255.255.255.255;99f74210ba9290b6;1433835591;
